label,cp_mean - mem_mean,mem_mean,cp_mean,diff_mean,mem_std,cp_std,diff_std
0_mlp_out,-0.01601429,0.23102492,0.21501063,0.01601426,0.15840559,0.15960768,0.14492343
1_mlp_out,0.00076023,0.01652588,0.01728611,-0.00076024,0.06530958,0.06873503,0.07461178
2_mlp_out,0.01067739,0.00020523,0.01088262,-0.01067739,0.08270151,0.08219354,0.09425443
3_mlp_out,0.00734786,0.06700473,0.07435258,-0.00734785,0.10059398,0.10014781,0.12344516
4_mlp_out,0.00408849,0.02015558,0.02424407,-0.00408849,0.12578802,0.12845263,0.12305989
5_mlp_out,-0.04463696,-0.00853960,-0.05317656,0.04463696,0.16623513,0.17047355,0.19063736
6_mlp_out,-0.05421458,0.15971226,0.10549767,0.05421458,0.21981218,0.20467646,0.21141814
7_mlp_out,0.06880796,0.19267347,0.26148143,-0.06880796,0.28151181,0.31126231,0.24796177
8_mlp_out,0.10304651,0.46230993,0.56535643,-0.10304651,0.36375532,0.38606578,0.28688833
9_mlp_out,0.27934623,0.99292827,1.27227449,-0.27934629,0.31127632,0.31578082,0.37576631
10_mlp_out,0.59280598,1.65145504,2.24426103,-0.59280586,0.55458945,0.72393638,0.63204855
11_mlp_out,0.06091577,0.46445966,0.52537543,-0.06091581,0.82914120,0.99320179,0.58909267
0_attn_out,-0.03954881,0.22292925,0.18338044,0.03954880,0.17874432,0.17608759,0.20836517
1_attn_out,-0.00208050,0.11877597,0.11669547,0.00208050,0.07752264,0.07979679,0.08986510
2_attn_out,-0.02051269,0.17105924,0.15054655,0.02051268,0.09394676,0.09723587,0.10619477
3_attn_out,-0.01141103,0.12110638,0.10969535,0.01141103,0.08861802,0.08508569,0.08751972
4_attn_out,-0.00535126,0.06132422,0.05597296,0.00535126,0.07946145,0.07971448,0.08496831
5_attn_out,0.35334980,0.57538486,0.92873466,-0.35334986,0.29642919,0.28811944,0.22676113
6_attn_out,0.14477783,0.50135803,0.64613587,-0.14477780,0.18449518,0.22395688,0.18774268
7_attn_out,1.14020860,0.87375772,2.01396632,-1.14020836,0.40913785,0.68767595,0.54175466
8_attn_out,0.11499256,0.53687280,0.65186536,-0.11499251,0.36042303,0.42076302,0.27890381
9_attn_out,1.23574769,1.81296670,3.04871440,-1.23574758,0.81953329,1.03165710,1.13929462
10_attn_out,0.61744547,2.26653361,2.88397908,-0.61744553,0.92185569,1.17403102,1.21355224
11_attn_out,-0.81492054,1.73255634,0.91763580,0.81492031,0.78763324,0.69502926,0.70571536
